
 NS = 8   NO. FOURIER MODES = 288   FTOLV = 1.000e-11   NITER = 4000

 ITER |    FSQR     FSQZ     FSQL    |    fsqr     fsqz      fsql   |   DELT   |  RAX(v=0) |    W_MHD   |   <BETA>   |  <M>  |  DELBSQ
  285 | 1.40e-08  3.28e-09  1.14e-08 | 4.55e-11  1.31e-11  1.85e-10 | 6.56e-01 | 6.004e+00 | 7.0444e+01 | 3.9942e-02 | 1.590 | 1.402e-03
  290 | 1.39e-08  3.39e-09  1.05e-08 | 4.17e-11  1.33e-11  1.59e-10 | 6.56e-01 | 6.004e+00 | 7.0444e+01 | 3.9943e-02 | 1.588 | 1.398e-03
  295 | 1.21e-08  3.30e-09  1.00e-08 | 3.97e-11  1.14e-11  1.30e-10 | 6.56e-01 | 6.004e+00 | 7.0444e+01 | 3.9943e-02 | 1.587 | 1.394e-03
  300 | 1.09e-08  2.99e-09  9.46e-09 | 3.58e-11  1.00e-11  1.15e-10 | 6.56e-01 | 6.005e+00 | 7.0444e+01 | 3.9944e-02 | 1.585 | 1.390e-03
  305 | 1.08e-08  3.01e-09  9.19e-09 | 3.05e-11  1.25e-11  1.15e-10 | 6.56e-01 | 6.005e+00 | 7.0444e+01 | 3.9944e-02 | 1.584 | 1.385e-03
  310 | 9.62e-09  2.33e-09  8.91e-09 | 2.60e-11  8.40e-12  1.09e-10 | 6.56e-01 | 6.005e+00 | 7.0444e+01 | 3.9945e-02 | 1.583 | 1.380e-03
  315 | 8.93e-09  2.26e-09  8.33e-09 | 2.30e-11  8.29e-12  9.94e-11 | 6.56e-01 | 6.005e+00 | 7.0443e+01 | 3.9945e-02 | 1.582 | 1.376e-03
  320 | 8.97e-09  2.12e-09  7.81e-09 | 2.13e-11  7.14e-12  8.37e-11 | 6.56e-01 | 6.005e+00 | 7.0443e+01 | 3.9946e-02 | 1.580 | 1.373e-03
  325 | 8.02e-09  1.71e-09  7.44e-09 | 1.93e-11  5.22e-12  7.27e-11 | 6.56e-01 | 6.006e+00 | 7.0443e+01 | 3.9946e-02 | 1.578 | 1.371e-03
  330 | 7.08e-09  1.93e-09  7.18e-09 | 1.76e-11  6.26e-12  6.49e-11 | 6.56e-01 | 6.006e+00 | 7.0443e+01 | 3.9946e-02 | 1.577 | 1.368e-03
