 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
  SEQ =    1 TIME SLICE  0.0000E+00
  PROCESSING INPUT.w7x_768
  THIS IS PARVMEC (PARALLEL VMEC), VERSION 10.0
  Lambda: Full Radial Mesh. L-Force: hybrid full/half.

  COMPUTER: demo-host   OS: GNU/Linux   RELEASE: 7.0.0-27-generic  DATE = Jul 21,2026  TIME = 14:28:16
  Opening vacuum field file: mgrid_w7x.nc
  Time to read MGRID file:   6.79E-02 s

  NS =    8 NO. FOURIER MODES =  288 FTOLV =  1.000E-11 NITER =   4000
  PROCESSOR COUNT - RADIAL:    1  VACUUM:    1

  ITER    FSQR      FSQZ      FSQL    RAX(v=0)    DELT        WMHD      DEL-BSQ
  670  6.77E-11  3.07E-11  1.30E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  675  6.73E-11  2.96E-11  1.25E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  680  6.57E-11  2.84E-11  1.20E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  685  6.22E-11  2.64E-11  1.14E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  690  5.96E-11  2.49E-11  1.09E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  695  5.66E-11  2.49E-11  1.05E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  700  5.34E-11  2.38E-11  1.01E-10  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  705  5.24E-11  2.29E-11  9.70E-11  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  710  5.16E-11  2.19E-11  9.26E-11  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  715  4.85E-11  2.04E-11  8.81E-11  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  720  4.64E-11  1.90E-11  8.39E-11  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  725  4.37E-11  1.93E-11  8.06E-11  6.007E+00  7.08E-01  7.0445E+01  1.368E-03
  730  4.12E-11  1.84E-11  7.77E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  735  4.02E-11  1.76E-11  7.42E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  740  3.98E-11  1.70E-11  7.06E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  745  3.70E-11  1.57E-11  6.70E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  750  3.51E-11  1.48E-11  6.35E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  755  3.33E-11  1.49E-11  6.11E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  760  3.11E-11  1.42E-11  5.87E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  765  3.03E-11  1.36E-11  5.61E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  770  2.99E-11  1.31E-11  5.34E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  775  2.77E-11  1.22E-11  5.05E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
  780  2.63E-11  1.13E-11  4.79E-11  6.007E+00  7.08E-01  7.0445E+01  1.369E-03
